soil_type,ph_level,nitrogen,phosphorus,potassium,moisture_level,irrigation_type,soil_health_score,crop_1,crop_2,crop_3,disease_risk,weather_rainfall_mm,temperature_c,humidity_percent,profit_estimate,image_url
Silty,6.03,48,31,26,39,Drip,77,Vegetables,Sugarcane,Vegetables,Low,55,22,77,61639,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2330).jpeg
Sandy,7.2,50,28,48,51,Drip,91,Rice,Wheat,Soybean,Medium,143,32,83,51875,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1773).jpeg
Sandy,6.85,21,21,41,50,Sprinkler,64,Rice,Millet,Sugarcane,Medium,121,21,71,66278,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1979).jpeg
Silty,6.87,23,20,21,46,Flood,73,Rice,Groundnut,Barley,Medium,144,35,80,70225,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1629).jpeg
Loamy,7.28,35,32,23,79,Drip,54,Wheat,Sugarcane,Cotton,High,140,34,90,22717,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2478).jpeg
Loamy,6.62,47,15,41,44,Drip,62,Groundnut,Maize,Cotton,Medium,162,32,62,45791,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1989).jpeg
Clay,6.52,41,24,28,58,Drip,80,Barley,Maize,Vegetables,High,162,26,76,44786,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2445).jpeg
Clay,5.73,35,21,40,78,Flood,51,Groundnut,Maize,Groundnut,High,125,21,66,42267,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1926).jpeg
Sandy,6.09,53,30,37,68,Flood,55,Wheat,Millet,Groundnut,Low,90,31,59,71598,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1959).jpeg
Clay,5.57,24,17,48,42,Flood,70,Wheat,Groundnut,Vegetables,High,166,27,42,74181,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2363).jpeg
Silty,6.06,30,29,21,36,Flood,59,Sugarcane,Cotton,Sugarcane,High,149,20,68,62175,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1922).jpeg
Silty,5.81,51,19,41,43,Sprinkler,89,Wheat,Barley,Barley,High,173,32,75,64255,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1687).jpeg
Sandy,5.6,32,18,26,31,Flood,78,Wheat,Rice,Groundnut,Low,185,31,69,47700,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2270).jpeg
Loamy,7.3,47,35,40,74,Flood,62,Groundnut,Groundnut,Maize,High,193,23,55,69918,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1864).jpeg
Loamy,5.57,52,39,50,65,Flood,91,Maize,Soybean,Rice,Low,186,32,44,43003,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1831).jpeg
Sandy,6.29,51,24,42,62,Drip,76,Groundnut,Sugarcane,Millet,High,106,29,78,50316,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2442).jpeg
Sandy,7.31,33,16,34,52,Flood,89,Wheat,Sugarcane,Wheat,Low,181,27,52,67969,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1719).jpeg
Clay,5.82,56,16,29,64,Sprinkler,93,Barley,Millet,Groundnut,Medium,177,29,41,45169,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1834).jpeg
Clay,5.96,36,34,25,50,Sprinkler,77,Barley,Maize,Barley,Low,151,35,71,78752,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1950).jpeg
Silty,7.05,22,19,49,75,Sprinkler,74,Soybean,Vegetables,Vegetables,Medium,90,24,43,65855,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1746).jpeg
Loamy,6.07,49,32,44,66,Sprinkler,56,Sugarcane,Groundnut,Soybean,Low,94,32,79,23143,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1987).jpeg
Silty,7.42,44,20,49,31,Drip,58,Wheat,Wheat,Wheat,High,82,25,77,42811,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2410).jpeg
Silty,7.49,57,28,30,65,Drip,51,Sugarcane,Barley,Wheat,Low,117,35,71,47315,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2033).jpeg
Sandy,7.31,24,16,32,41,Sprinkler,77,Wheat,Vegetables,Maize,Medium,196,30,42,66466,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2114).jpeg
Loamy,5.72,44,39,50,57,Sprinkler,91,Millet,Millet,Rice,Medium,120,33,75,20541,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1842).jpeg
Loamy,6.84,45,22,26,76,Sprinkler,50,Cotton,Soybean,Millet,Low,60,35,53,52611,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2317).jpeg
Clay,6.28,34,15,31,75,Sprinkler,56,Sugarcane,Groundnut,Rice,Medium,166,23,63,53873,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2417).jpeg
Silty,7.5,33,38,50,32,Flood,64,Rice,Groundnut,Maize,Medium,148,20,48,55171,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1722).jpeg
Clay,7.21,51,19,20,71,Flood,70,Soybean,Maize,Cotton,Low,98,31,54,27218,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2199).jpeg
Loamy,6.65,37,39,41,68,Sprinkler,70,Soybean,Cotton,Wheat,Medium,137,26,53,56172,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1936).jpeg
Sandy,6.8,53,38,23,38,Drip,85,Millet,Groundnut,Maize,Medium,157,29,80,57364,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2334).jpeg
Clay,6.61,53,26,34,33,Sprinkler,94,Vegetables,Cotton,Groundnut,High,196,29,63,62648,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1879).jpeg
Silty,6.66,29,21,23,57,Sprinkler,54,Wheat,Barley,Soybean,Low,109,23,68,50596,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2143).jpeg
Silty,6.36,27,22,30,39,Drip,79,Maize,Sugarcane,Maize,High,174,26,59,51599,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2184).jpeg
Loamy,5.51,46,39,50,78,Flood,77,Millet,Soybean,Millet,Low,168,31,53,44703,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1844).jpeg
Sandy,7.44,49,39,47,48,Drip,54,Maize,Millet,Wheat,High,51,21,62,25896,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1797).jpeg
Loamy,6.8,43,27,36,72,Sprinkler,53,Barley,Cotton,Vegetables,Low,98,29,68,23360,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2111).jpeg
Sandy,7.29,33,23,39,67,Drip,73,Wheat,Barley,Wheat,High,62,26,58,73166,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1678).jpeg
Loamy,7.07,47,36,32,40,Sprinkler,52,Maize,Maize,Sugarcane,High,122,29,50,21029,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2322).jpeg
Loamy,6.37,53,20,22,80,Drip,51,Maize,Millet,Groundnut,High,113,21,47,43701,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1971).jpeg
Clay,7.21,37,20,49,55,Drip,90,Groundnut,Cotton,Maize,Medium,152,28,83,63409,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2476).jpeg
Loamy,7.43,56,29,25,30,Sprinkler,69,Rice,Vegetables,Millet,Medium,125,32,56,23816,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2284).jpeg
Clay,6.01,43,25,41,57,Sprinkler,63,Vegetables,Wheat,Vegetables,Medium,76,34,79,21591,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2131).jpeg
Loamy,6.74,32,21,22,78,Drip,78,Groundnut,Vegetables,Sugarcane,High,140,29,65,23528,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2135).jpeg
Clay,5.8,23,28,25,33,Drip,66,Rice,Wheat,Barley,Low,150,22,68,65213,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2288).jpeg
Sandy,5.75,25,35,50,69,Flood,76,Wheat,Maize,Rice,Medium,143,25,42,22627,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1884).jpeg
Sandy,7.05,49,33,44,70,Flood,50,Groundnut,Barley,Cotton,Medium,62,23,75,34965,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2192).jpeg
Loamy,6.81,45,22,22,42,Sprinkler,80,Groundnut,Barley,Sugarcane,Low,188,31,54,68765,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2160).jpeg
Loamy,7.15,52,39,30,42,Sprinkler,91,Vegetables,Vegetables,Maize,Low,87,28,69,43520,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2343).jpeg
Loamy,7.28,52,25,20,47,Sprinkler,88,Millet,Sugarcane,Vegetables,Medium,158,21,70,24713,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1643).jpeg
Loamy,7.41,21,16,43,35,Flood,61,Vegetables,Wheat,Soybean,Low,155,22,73,22588,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2217).jpeg
Loamy,7.14,54,17,33,32,Sprinkler,81,Soybean,Groundnut,Wheat,Low,100,33,79,77982,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2263).jpeg
Silty,7.25,38,20,46,60,Drip,51,Wheat,Millet,Sugarcane,Low,85,30,77,70376,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1674).jpeg
Sandy,6.53,38,34,26,56,Sprinkler,85,Barley,Rice,Soybean,High,158,28,85,60379,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1872).jpeg
Loamy,5.98,60,23,36,77,Sprinkler,55,Soybean,Maize,Soybean,Medium,119,29,70,62437,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1628).jpeg
Sandy,7.01,57,38,34,40,Flood,62,Barley,Sugarcane,Soybean,Low,133,32,87,69999,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1875).jpeg
Clay,6.13,25,33,33,57,Flood,91,Sugarcane,Rice,Barley,Medium,150,34,57,48028,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2338).jpeg
Loamy,5.73,56,17,25,43,Flood,52,Barley,Vegetables,Cotton,Medium,90,32,67,20750,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2255).jpeg
Sandy,7.12,29,37,24,57,Flood,71,Sugarcane,Cotton,Vegetables,Low,89,24,65,66371,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1824).jpeg
Sandy,5.99,57,22,25,51,Flood,74,Cotton,Vegetables,Cotton,Low,88,25,75,53474,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2067).jpeg
Clay,6.85,28,38,26,59,Sprinkler,76,Barley,Soybean,Groundnut,High,148,22,49,44060,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2393).jpeg
Silty,5.51,24,36,48,35,Drip,56,Sugarcane,Soybean,Maize,High,156,29,83,67986,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2489).jpeg
Sandy,6.12,53,22,38,67,Flood,71,Wheat,Soybean,Wheat,Low,140,20,76,46196,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2005).jpeg
Loamy,7.18,50,39,45,70,Drip,70,Barley,Maize,Millet,High,140,22,58,39731,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2142).jpeg
Loamy,5.79,26,30,24,47,Flood,88,Rice,Sugarcane,Millet,Medium,86,29,42,67084,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1841).jpeg
Loamy,6.07,47,27,50,70,Drip,90,Barley,Maize,Rice,High,192,26,52,26858,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2439).jpeg
Clay,5.96,22,17,30,57,Flood,58,Soybean,Groundnut,Maize,Low,161,30,79,60449,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2000).jpeg
Clay,6.16,29,28,24,50,Flood,85,Rice,Millet,Cotton,High,81,20,64,54353,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1810).jpeg
Loamy,6.62,36,15,26,66,Sprinkler,89,Cotton,Vegetables,Wheat,High,126,26,66,78556,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1634).jpeg
Silty,6.04,57,38,37,51,Sprinkler,85,Wheat,Soybean,Sugarcane,Low,144,27,56,78167,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2461).jpeg
Silty,6.67,38,22,26,41,Flood,93,Millet,Vegetables,Rice,Medium,192,26,67,71808,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1934).jpeg
Sandy,6.17,40,19,36,31,Flood,53,Maize,Soybean,Millet,Low,140,28,52,65042,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1661).jpeg
Loamy,5.77,22,25,24,75,Drip,95,Groundnut,Groundnut,Sugarcane,Medium,120,24,61,77507,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1723).jpeg
Clay,5.61,60,28,41,60,Flood,88,Groundnut,Vegetables,Vegetables,Medium,149,30,52,58520,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2374).jpeg
Silty,6.89,41,30,39,39,Sprinkler,58,Groundnut,Wheat,Barley,High,123,34,83,38675,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1975).jpeg
Silty,6.67,46,37,36,65,Drip,53,Soybean,Wheat,Maize,Low,79,22,75,50447,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1880).jpeg
Clay,7.06,37,29,22,74,Flood,68,Cotton,Sugarcane,Millet,High,115,20,77,27508,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2032).jpeg
Silty,7.15,42,36,37,76,Sprinkler,85,Wheat,Millet,Barley,Medium,170,25,76,21538,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1638).jpeg
Silty,6.97,56,35,25,44,Flood,71,Vegetables,Millet,Barley,Low,73,32,57,38023,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2346).jpeg
Loamy,7.28,20,30,24,35,Flood,70,Rice,Rice,Millet,Medium,113,23,62,50473,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2389).jpeg
Silty,6.34,59,32,47,51,Sprinkler,50,Vegetables,Barley,Groundnut,High,153,30,48,33616,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2014).jpeg
Clay,7.17,35,30,27,55,Flood,62,Maize,Groundnut,Millet,Low,54,35,68,76519,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2206).jpeg
Sandy,7.16,21,32,40,72,Flood,59,Groundnut,Sugarcane,Groundnut,Low,102,21,55,48111,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1750).jpeg
Sandy,6.21,48,16,37,55,Drip,61,Wheat,Groundnut,Rice,High,192,31,50,74343,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1933).jpeg
Silty,6.81,35,35,28,54,Flood,85,Sugarcane,Sugarcane,Wheat,Low,167,31,81,31248,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1835).jpeg
Loamy,7.14,36,29,22,36,Flood,63,Cotton,Wheat,Vegetables,Medium,200,24,48,52763,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1694).jpeg
Silty,5.93,31,23,23,45,Drip,72,Sugarcane,Groundnut,Sugarcane,Medium,61,23,45,35671,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2098).jpeg
Clay,6.68,37,24,32,46,Sprinkler,95,Maize,Groundnut,Maize,Low,119,25,51,44372,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2232).jpeg
Loamy,7.44,30,24,43,64,Drip,58,Wheat,Wheat,Rice,High,82,27,88,62458,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2144).jpeg
Sandy,6.61,35,34,44,62,Flood,73,Groundnut,Cotton,Rice,Low,74,27,84,56472,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1656).jpeg
Loamy,5.61,31,38,34,45,Sprinkler,68,Vegetables,Wheat,Cotton,High,131,29,59,22754,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2007).jpeg
Sandy,6.23,29,33,24,42,Drip,79,Millet,Vegetables,Vegetables,High,121,34,63,49013,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2030).jpeg
Sandy,5.64,23,29,23,76,Flood,54,Wheat,Cotton,Rice,Low,184,27,53,55745,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2022).jpeg
Silty,6.49,21,39,32,70,Sprinkler,90,Soybean,Millet,Cotton,Medium,78,31,67,39386,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2488).jpeg
Sandy,7.24,35,24,47,65,Flood,78,Vegetables,Millet,Rice,Low,72,22,80,56968,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2094).jpeg
Clay,6.27,31,20,27,79,Flood,66,Maize,Millet,Vegetables,High,133,34,61,66549,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1978).jpeg
Silty,7.18,26,37,42,64,Drip,87,Maize,Soybean,Cotton,Medium,189,21,41,73262,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2273).jpeg
Clay,5.85,58,28,33,39,Flood,94,Sugarcane,Barley,Groundnut,High,149,21,82,46311,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1792).jpeg
Loamy,7.48,29,40,39,54,Flood,81,Maize,Vegetables,Rice,High,111,33,84,41055,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2140).jpeg
Clay,6.5,58,25,42,68,Drip,87,Maize,Millet,Maize,High,189,33,45,76826,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2283).jpeg
Clay,6.65,54,24,33,46,Sprinkler,95,Groundnut,Maize,Rice,High,114,23,76,62567,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2324).jpeg
Sandy,5.69,54,16,34,67,Sprinkler,80,Wheat,Soybean,Millet,High,101,25,82,57130,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2227).jpeg
Loamy,6.58,42,19,48,78,Flood,89,Wheat,Barley,Groundnut,Medium,103,30,58,79684,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1901).jpeg
Loamy,6.19,36,23,50,79,Sprinkler,73,Maize,Vegetables,Rice,Medium,53,23,61,53078,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2407).jpeg
Sandy,6.53,27,40,38,35,Flood,86,Barley,Cotton,Cotton,Medium,128,27,62,67077,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1941).jpeg
Clay,7.34,54,30,50,39,Sprinkler,87,Soybean,Wheat,Cotton,Medium,54,25,49,42896,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1654).jpeg
Clay,6.92,20,27,40,55,Drip,86,Cotton,Rice,Rice,High,124,35,54,44852,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2262).jpeg
Clay,6.2,35,25,22,39,Flood,75,Groundnut,Soybean,Wheat,Medium,73,33,90,74806,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1909).jpeg
Silty,6.91,21,24,40,49,Sprinkler,61,Sugarcane,Sugarcane,Vegetables,High,143,25,83,63757,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2122).jpeg
Sandy,7.44,20,34,37,77,Flood,79,Maize,Maize,Maize,Medium,98,27,51,69523,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2261).jpeg
Clay,5.98,50,27,44,63,Sprinkler,51,Groundnut,Rice,Groundnut,Low,73,29,72,24497,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1918).jpeg
Clay,6.09,57,21,50,65,Sprinkler,82,Soybean,Barley,Cotton,Medium,175,30,90,65528,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2086).jpeg
Silty,7.4,44,37,43,61,Sprinkler,90,Millet,Maize,Sugarcane,High,135,22,77,65358,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2092).jpeg
Clay,6.5,57,15,29,68,Sprinkler,68,Vegetables,Barley,Millet,Low,157,32,49,27734,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2149).jpeg
Sandy,5.94,46,15,34,72,Flood,85,Vegetables,Barley,Rice,Medium,57,24,75,33506,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1854).jpeg
Silty,5.79,26,33,37,36,Drip,68,Soybean,Rice,Barley,High,100,29,70,72185,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2240).jpeg
Sandy,6.56,41,30,35,34,Drip,59,Wheat,Maize,Millet,Medium,196,24,73,46379,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2425).jpeg
Sandy,5.68,31,15,46,65,Sprinkler,56,Cotton,Cotton,Millet,High,93,22,54,51911,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1806).jpeg
Clay,6.78,49,31,24,75,Sprinkler,76,Groundnut,Vegetables,Vegetables,Low,172,34,86,41820,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1708).jpeg
Silty,7.27,56,26,26,34,Flood,61,Barley,Groundnut,Groundnut,Low,66,28,44,70483,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1690).jpeg
Silty,5.51,20,22,41,58,Drip,80,Sugarcane,Soybean,Maize,Low,108,34,59,43291,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2404).jpeg
Clay,7.31,35,35,28,35,Drip,83,Barley,Groundnut,Sugarcane,Medium,87,33,79,39554,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1761).jpeg
Sandy,7.48,43,31,28,39,Flood,84,Millet,Rice,Groundnut,Low,121,35,77,23826,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1889).jpeg
Clay,7.12,53,23,37,78,Drip,85,Barley,Cotton,Wheat,Low,100,27,49,33797,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2231).jpeg
Loamy,5.96,24,20,36,70,Sprinkler,61,Millet,Cotton,Cotton,Medium,69,25,43,69200,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1868).jpeg
Loamy,6.22,43,26,21,78,Sprinkler,66,Barley,Sugarcane,Vegetables,Medium,137,23,47,76458,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2414).jpeg
Clay,6.46,39,21,36,40,Drip,76,Barley,Groundnut,Rice,High,153,20,75,29345,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2426).jpeg
Loamy,7.14,58,17,50,42,Drip,71,Barley,Vegetables,Barley,Medium,120,35,66,76324,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1791).jpeg
Clay,7.36,38,19,40,34,Sprinkler,88,Wheat,Rice,Rice,Low,152,28,40,66195,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2202).jpeg
Clay,7.43,21,40,22,57,Drip,88,Maize,Cotton,Wheat,Low,65,25,66,53410,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1725).jpeg
Sandy,5.7,37,17,33,75,Flood,94,Millet,Sugarcane,Maize,High,107,21,83,49881,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2304).jpeg
Silty,6.97,34,27,27,72,Flood,77,Barley,Rice,Groundnut,High,133,34,86,31739,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1798).jpeg
Silty,7.2,41,30,28,61,Flood,82,Maize,Maize,Maize,Low,99,32,89,64900,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1938).jpeg
Silty,6.84,53,35,36,44,Sprinkler,65,Groundnut,Soybean,Barley,Medium,193,31,71,75014,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2191).jpeg
Loamy,6.16,46,26,30,50,Drip,73,Soybean,Maize,Barley,Low,181,30,75,20419,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1730).jpeg
Silty,6.07,34,17,33,39,Flood,86,Groundnut,Millet,Soybean,High,80,27,57,61835,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2152).jpeg
Silty,7.46,24,18,35,59,Drip,73,Maize,Maize,Vegetables,High,119,23,74,26874,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2301).jpeg
Clay,5.8,31,24,32,55,Sprinkler,93,Vegetables,Vegetables,Barley,Medium,142,23,84,31049,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1633).jpeg
Loamy,5.95,22,15,37,50,Sprinkler,73,Wheat,Rice,Millet,Medium,88,22,54,46551,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1762).jpeg
Loamy,6.31,29,21,50,53,Drip,74,Vegetables,Rice,Wheat,Low,87,30,51,43602,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1904).jpeg
Loamy,6.25,22,19,49,50,Drip,94,Maize,Groundnut,Rice,Medium,141,22,45,74512,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1786).jpeg
Clay,6.35,23,25,50,76,Drip,78,Vegetables,Vegetables,Groundnut,High,178,26,64,42352,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (1932).jpeg
Loamy,6.9,37,39,38,73,Flood,75,Barley,Maize,Wheat,High,109,29,89,27166,/content/drive/MyDrive/dataset/CyAUG-Dataset/Yellow_Soil/y (2089).jpeg
